;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
DateTime;;;;;;;;;;;;;;;;;;;;;;;
;PM10;PM2.5;Vel Viento;Precipitacion;Dir Viento;OZONO;CO;NO;NO2;NOX;;Temperatura;Rad Solar;HR;;;;;;;;BBP;BC ug/m3
;µg/m3;µg/m3;m/s;mm;Grados;ppb;ppm;ppb;ppb;ppb;;°C;W/M²;%;;;;;;;;%;µg/m3
01-01-2023 05:25;0;10;1,9;0;143;9;0,3;3;5,6;8,6;;16;273;56;;;;;;;;0;0
01-01-2023 06:25;7;7;1,8;0;144;8,8;0,3;3,7;6,2;9,9;;16,1;225;56;;;;;;;;0;0
01-01-2023 07:25;4;2;1,4;0;138;8,4;0,3;3,9;6,5;10,4;;16,4;212;56;;;;;;;;0;0
01-01-2023 01:26;6;4;1,7;0;124;8;0,3;3,9;6,9;10,7;;15,6;167;61;;;;;;;;0;0
01-01-2023 02:26;5;5;2,4;0;114;7,9;0,3;3,4;6,8;10,2;;14,8;124;63;;;;;;;;0;0
01-01-2023 03:26;4;4;2,2;0;112;7,9;0,3;2,6;6,1;8,7;;14,5;83;64;;;;;;;;0;0
01-01-2023 04:26;11;9;1,2;0;122;7,4;0,3;2,5;6,5;8,9;;13,7;27;67;;;;;;;;0;0
01-01-2023 05:26;11;9;0,7;0;135;6,8;0,3;2,7;7,3;10;;13,1;3;69;;;;;;;;0;0
01-01-2023 06:26;7;7;1,2;0;99;6,5;0,3;2,3;7,4;9,7;;12,7;0;70;;;;;;;;0;0
01-01-2023 07:26;6;5;1,5;0;100;4,7;0,4;4,8;9,1;13,9;;12,4;0;71;;;;;;;;0;0
01-01-2023 01:27;16;4;1,8;0;108;2,5;0,4;6,5;9,1;15,6;;11,7;0;75;;;;;;;;0;0
01-01-2023 02:27;8;3;2,2;0;107;2,6;0,3;4,2;6,1;10,3;;10,8;0;77;;;;;;;;0;0
01-01-2023 03:27;8;6;2,4;0;109;3,4;0,2;2,2;4,4;6,5;;10,2;0;77;;;;;;;;0;0
01-01-2023 04:27;5;5;2;0;110;3,6;0,2;1,3;4;5,4;;10;0;77;;;;;;;;0;0
01-01-2023 05:27;7;2;1,5;0;110;2,9;0,2;1,6;5;6,6;;10,2;0;77;;;;;;;;0;0
01-01-2023 06:27;6;6;1,4;0;109;2,4;0,2;1,6;5,1;6,6;;10,2;0;78;;;;;;;;0;0
01-01-2023 07:27;4;4;1,3;0;109;3;0,1;1;4,5;5,5;;10,1;0;78;;;;;;;;0;0
01-01-2023 01:28;16;9;0,8;0;106;2,3;0,2;2,3;7,1;9,3;;10;0;79;;;;;;;;0;0
01-01-2023 02:28;17;9;0,9;0;106;0,8;0,2;4,3;9,1;13,4;;9,8;0;81;;;;;;;;0;0
01-01-2023 03:28;26;5;1,4;0;111;0,4;0,3;6,7;8;14,7;;9,7;6;82;;;;;;;;0;0
01-01-2023 04:28;20;9;1,1;0;111;0,8;0,3;9,2;7,8;17;;10,3;40;79;;;;;;;;0;0
01-01-2023 05:28;35;18;0,3;0;78;2,2;0,4;10,7;12,6;23,4;;12,1;106;75;;;;;;;;0;0
01-01-2023 06:28;0;23;0,2;0;107;4,9;0,4;8,8;14;22,8;;14,1;153;67;;;;;;;;0;0
01-01-2023 07:28;23;16;0,5;0;24;6;0,4;6,6;13,9;20,4;;15;168;62;;;;;;;;0;0
01-01-2023 01:29;20;20;1;0;352;6,7;0,4;5,8;14,2;20;;16,2;263;59;;;;;;;;0;0
01-01-2023 02:29;12;12;0,8;0;26;8;0,3;3,6;10,8;14,4;;17,3;311;54;;;;;;;;0;0
01-01-2023 03:29;15;6;1,1;0;39;7,7;0,3;2,8;10,9;13,7;;17;212;55;;;;;;;;0;0
01-01-2023 04:29;17;2;1,3;0;101;7,6;0,3;2,8;8,7;11,5;;16,6;173;57;;;;;;;;0;0
01-01-2023 05:29;13;6;2;0;121;7,7;0,3;2,8;5,8;8,7;;16,7;173;55;;;;;;;;0;0
01-01-2023 06:29;12;4;1,3;0;121;7;0,3;3,2;7;10,3;;16,6;114;56;;;;;;;;0;0
01-01-2023 07:29;30;1;0,3;0;93;6,2;0,4;2,9;11,6;14,4;;15,3;45;65;;;;;;;;0;0
01-01-2023 01:30;35;18;0,6;0;358;4,1;0,6;2,1;20,3;22,4;;13,6;8;78;;;;;;;;0;0
