;PM10;PM2.5;Vel Viento 10M;Precipitacion;Dir Viento 10M;OZONO;CO;NO;NO2;NOX;SO2;Temperatura;Rad Solar;;HR;
;µg/m3;µg/m3;m/s;mm;Grados;ppb;ppm;ppb;ppb;ppb;ppb;°C;W/M²;;%;
01-01-2023 04:35;16;6;1;0;151;17,8;0,1;1,5;1;2,6;0;18;247;;57,93;
01-01-2023 05:35;12;4;1,2;0;43;19,1;0,1;1,7;0,7;2,4;0;18,3;288;;53,05;
01-01-2023 01:36;12;5;1,4;0;47;0;0,1;1,7;0,4;2,1;0;19,8;409;;47,9;
01-01-2023 02:36;17;4;1,5;0;118;22,9;0,1;2,1;1,2;3,4;0;19,6;313;;47,19;
01-01-2023 03:36;10;4;1,2;0;34;20;0,1;1,2;0,3;1,5;0;19;217;;47,21;
01-01-2023 04:36;11;2;1,1;0;106;17;0,1;2;1,4;3,4;0;17,9;133;;51,99;
01-01-2023 05:36;9;2;0,9;0;96;14,7;0,2;2,4;2,7;5,1;0;16,1;46;;60,33;
01-01-2023 01:37;17;2;1,2;0;77;13,4;0,2;3,1;4;7,1;0;14,7;10;;65,34;
01-01-2023 02:37;14;8;0,9;0;99;8,3;0,3;6,3;8;14,3;0;13,9;0;;68,42;
01-01-2023 03:37;18;6;0,3;0;185;6,5;0,3;4,7;7,7;12,4;0;13,3;0;;70,09;
01-01-2023 04:37;22;6;0,4;0;346;1;0,5;16,7;11,5;28,2;0;11,4;0;;74,84;
01-01-2023 05:37;18;8;0,5;0;298;2,3;0,3;6,9;9;15,9;0;11,2;0;;78,84;
01-01-2023 01:38;18;6;0,2;0;286;0,5;0,5;17,2;9,4;26,6;0;10,6;0;;79,67;
01-01-2023 02:38;27;10;0,2;0;225;0,7;1;64,6;7,6;72,1;0;9,5;0;;81,64;
01-01-2023 03:38;26;15;0,4;0;335;0;0,9;70,8;6,7;77,5;0;9,5;0;;83,67;
01-01-2023 04:38;29;9;0,2;0;297;0,6;0,4;30,3;6,1;36,4;0;9,8;0;;83,97;
01-01-2023 05:38;26;8;0,2;0;322;0,9;0,5;28,7;5,7;34,3;0;9,9;0;;83,25;
01-01-2023 01:39;25;8;0,4;0;326;0,3;0,4;36,4;6;42,4;0;10;0;;83,45;
01-01-2023 02:39;21;16;0,3;0;302;0,7;0,2;17,2;5,6;22,8;0;10,2;0;;84,09;
01-01-2023 03:39;27;6;0,2;0;231;0,7;0,4;48,2;5,6;53,8;0;9,9;0;;83,85;
01-01-2023 04:39;20;15;0,2;0;290;0,7;0,6;52,6;4,7;57,3;0;10,1;10;;84,37;
01-01-2023 05:39;22;22;0,6;0;327;3,3;0,4;28,3;5,4;33,6;0;12,2;116;;82,7;
01-01-2023 01:40;25;14;0,5;0;329;7;0,2;11,4;5,8;17,1;0;15,1;176;;68,13;
01-01-2023 02:40;20;12;0,6;0;314;12,9;0,1;3,2;2,7;5,9;0;16;154;;61,39;
01-01-2023 03:40;12;6;0,6;0;216;15,4;0,1;2,1;1,7;3,8;0;17,6;206;;56,77;
01-01-2023 04:40;9;3;1,3;0;263;20;0;1,1;0,3;1,4;0;20;437;;49,18;
01-01-2023 05:40;11;3;1,5;0;87;19,9;0;1,4;0,3;1,8;0;20,1;309;;46,01;
01-01-2023 01:41;14;5;1,4;0;112;18,7;0;1,6;0,4;2;0;21,5;431;;45,25;
